Rim-to-Rim: North Kaibab to South Kaibab Trailhead	Grand Canyon National Park	Arizona	31060.262	7	point to point	 river	 views	 waterfall
Tanque Verde Ridge Trail	Saguaro National Park	Arizona	32186.8	7	out and back	 views	 wild-flowers	 wildlife
Rim to Rim Trail Segment: Indian Garden to Colorado River	Grand Canyon National Park	Arizona	9656.04	7	out and back	 views	 waterfall	
North Kaibab Trail to Colorado River	Grand Canyon National Park	Arizona	45061.52	7	out and back	 cave	 dogs-no	 forest
Cape Final	Grand Canyon National Park	Arizona	6437.36	1	out and back	 forest	 kid-friendly	 views
Mica View Loop Trail	Saguaro National Park	Arizona	5954.558	1	loop	 forest	 kid-friendly	 views
Phantom Ranch to Ribbon Falls via North Kaibab Trail	Grand Canyon National Park	Arizona	19151.146	5	out and back	 river	 views	 waterfall
Hugh Norris Trail	Saguaro National Park	Arizona	14323.126	3	out and back	 views		
North Kaibab Trail to Supai Tunnel and Coconino Overlook	Grand Canyon National Park	Arizona	5954.558	3	out and back	 forest	 kid-friendly	 views
Crystal Forest Trail	Petrified Forest National Park	Arizona	1448.406	1	loop	 kid-friendly	 paved	 views
Hermits Rest Viewpoint  to Santa Maria Spring	Grand Canyon National Park	Arizona	5471.756	3	out and back	 views	 wild-flowers	 wildlife
South Kaibab to North Kaibab to Bright Angel Trail	Grand Canyon National Park	Arizona	65822.006	7	point to point	 river	 views	 waterfall
Painted Desert Rim Trail	Petrified Forest National Park	Arizona	1770.274	1	out and back	 kid-friendly	 views	
Petrified Forest Scenic Drive	Petrified Forest National Park	Arizona	46027.124	3	point to point	 kid-friendly	 paved	 views
Bright Angel Trail to Phantom Overlook to South Kaibab Trail	Grand Canyon National Park	Arizona	27841.582	5	point to point	 river	 views	 wild-flowers
South Kaibab Trail to Tip Off	Grand Canyon National Park	Arizona	14484.06	5	out and back	 wild-flowers		
Grand Canyon South Rim Scenic Drive: Cameron to Grand Canyon Village	Grand Canyon National Park	Arizona	88513.7	1	point to point	 paved	 views	
Safford Peak Trail	Saguaro National Park	Arizona	3862.416	3	out and back	 views	 wildlife	
Thunder Creek to Deer Creek and Thunder Falls	Grand Canyon National Park	Arizona	46670.86	5	loop	 river	 views	 waterfall
Rim to Rim: North to South and Ribbon Falls	Grand Canyon National Park	Arizona	49889.54	7	point to point	 waterfall		
Gould Mine	Saguaro National Park	Arizona	3701.482	3	loop	 views		
Douglas Spring and  Bridal Wreath Falls and  Three Tank and  Garwood Loop	Saguaro National Park	Arizona	11426.314	3	loop	 views	 wild-flowers	
Grand Canyon Rim Village to Hermits Rest	Grand Canyon National Park	Arizona	24622.902	1	out and back	 views	 wild-flowers	 wildlife
Desert View Visitor Center Trail	Grand Canyon National Park	Arizona	643.736	1	loop	 dogs-leash	 kid-friendly	 partially-paved
Coconino Overlook	Grand Canyon National Park	Arizona	2092.142	1	out and back	 views		
Uncle Jim Trail	Grand Canyon National Park	Arizona	7563.898	1	loop	 forest	 kid-friendly	 views
Dripping Springs via Dripping Springs and Hermit Trail	Grand Canyon National Park	Arizona	10138.842	5	out and back	 river	 views	 wild-flowers
Giant Logs Trail	Petrified Forest National Park	Arizona	965.604	1	loop	 kid-friendly	 paved	 views
Onyx Bridge Trail	Petrified Forest National Park	Arizona	7402.964	3	loop	 views	 wild-flowers	 wildlife
North Kaibab Trail to Redwall Bridge	Grand Canyon National Park	Arizona	11104.446	5	out and back	 views		
Valley View Overlook Trail	Saguaro National Park	Arizona	1287.472	1	out and back	 kid-friendly	 views	 wild-flowers
Cactus Forest Loop Drive	Saguaro National Park	Arizona	16576.202	1	loop	 partially-paved	 views	 wild-flowers
Long Logs and Agate House Loop Trail	Petrified Forest National Park	Arizona	3379.614	1	loop	 dogs-no	 historic-site	 kid-friendly
Tanner Trail	Grand Canyon National Park	Arizona	21404.222	7	out and back	 dogs-no	 river	 views
Loma Verde and Squeeze Pen Loop	Saguaro National Park	Arizona	5954.558	3	loop	 wild-flowers		
Hope Camp	Saguaro National Park	Arizona	10460.71	3	out and back	 views	 wild-flowers	
South Kaibab and  Tonto and Bright Angel Trail	Grand Canyon National Park	Arizona	19955.816	7	point to point	 views	 wild-flowers	 wildlife
Garwood Trail	Saguaro National Park	Arizona	5310.822	1	out and back	 kid-friendly		
Garwood Dam To Douglas Spring Loop Trail	Saguaro National Park	Arizona	10460.71	1	loop	 kid-friendly	 views	 wild-flowers
South to North Kaibab Trail	Grand Canyon National Park	Arizona	31060.262	5	point to point	 river	 views	 wild-flowers
Tanque Verde Ridge	Saguaro National Park	Arizona	5310.822	3	out and back			
Freeman Homestead Nature Trail	Saguaro National Park	Arizona	1770.274	1	loop	 kid-friendly	 views	 wild-flowers
Point Imperial	Grand Canyon National Park	Arizona	160.934	1	out and back	 forest	 kid-friendly	 views
Sendero Esperanza Trail	Saguaro National Park	Arizona	8046.7	3	out and back	 views	 wild-flowers	 wildlife
Douglas Spring to Three Tank Trail Junction	Saguaro National Park	Arizona	7242.03	3	out and back	 wild-flowers		
West Rim Trail: Hermits Rest to Powell Point	Grand Canyon National Park	Arizona	19312.08	1	out and back	 kid-friendly	 views	
Saguaro National Park West and Old Tucson Studios Scenic Drive	Saguaro National Park	Arizona	63086.128	1	loop	 views	 wildlife	
Roosevelt Point Trail	Grand Canyon National Park	Arizona	482.802	1	loop	 kid-friendly	 views	 wild-flowers
Petroglyphs at King Canyon	Saguaro National Park	Arizona	3540.548	3	out and back	 kid-friendly		
South Bass Trail	Grand Canyon National Park	Arizona	19633.948	7	out and back	 dogs-no	 river	 views
Puerco Pueblo Trail	Petrified Forest National Park	Arizona	482.802	1	loop	 kid-friendly	 views	
Cactus Forest Trail	Saguaro National Park	Arizona	16093.4	3	out and back	 forest	 views	 wild-flowers
The Escalante Route Trail	Grand Canyon National Park	Arizona	56005.032	5	out and back	 dogs-no	 river	 views
Nankoweap Trail	Grand Canyon National Park	Arizona	49406.738	7	out and back	 river	 views	 wild-flowers
Devils Playground Loop	Petrified Forest National Park	Arizona	12070.05	3	loop	 views	 wild-flowers	 wildlife
Pink Hill and  Loma Verde and  Cholla Trail and  and Cactus Forest Loop	Saguaro National Park	Arizona	5310.822	1	loop	 views	 wild-flowers	
Hermit Trail to Dripping Springs	Grand Canyon National Park	Arizona	8529.502	5	out and back	 views	 wild-flowers	
Ridge View Trail	Saguaro National Park	Arizona	3701.482	3	out and back	 kid-friendly	 views	 wild-flowers
Cliff Springs Trail	Grand Canyon National Park	Arizona	1770.274	1	out and back	 forest	 kid-friendly	 views
Walhalla Overlook	Grand Canyon National Park	Arizona	160.934	1	out and back	 dogs-no	 kid-friendly	 strollers
Widforss Trail - Short Option	Grand Canyon National Park	Arizona	6920.162	1	out and back	 forest	 kid-friendly	 views
Mica View Trail to Cactus Forest Trail	Saguaro National Park	Arizona	3057.746	1	loop	 kid-friendly	 views	 wildlife
Clear Creek Trail	Grand Canyon National Park	Arizona	49245.804	7	out and back	 views		
Desert Ecology Trail	Saguaro National Park	Arizona	482.802	1	loop	 dogs-no	 kid-friendly	 strollers
New Hance Trail	Grand Canyon National Park	Arizona	20921.42	5	out and back	 dogs-no	 river	 views
Bright Angel Trail to Tonto Trail	Grand Canyon National Park	Arizona	116838.084	5	out and back	 river	 views	 wild-flowers
Old Jasper Forest Road	Petrified Forest National Park	Arizona	4184.284	1	loop	 kid-friendly	 views	
Wildhorse Trail	Saguaro National Park	Arizona	4988.954	3	out and back			
Tanque Verde Falls Viewpoint	Saguaro National Park	Arizona	1126.538	3	out and back	 views	 waterfall	
